id,prediction
1,6284498.037043642
2,6284497.344976342
3,6285808.536238368
4,6285291.413111502
5,6285845.61206509
6,6285297.690508323
7,6285799.383935035
8,6285776.140011469
9,6285773.67691958
10,6285817.594400791
11,6284865.235821731
12,6285881.5775963385
13,6285558.155132422
14,6285850.136879913
15,6285821.63909134
16,6285560.756240885
17,6285833.63018016
18,6284865.235820187
19,6285736.637867835
20,6285776.140009763
21,6283312.657283843
22,6285735.696576132
23,6285651.637132272
24,6285841.30832007
25,6285447.261112932
26,6285759.231582501
27,6285565.9914091425
28,6285716.02555648
29,6285620.367870838
30,6285912.068528952
31,6285838.414658165
32,6285898.926025236
33,6285235.393923825
34,6285736.78488018
35,6285880.174120796
36,6285829.077029651
37,6282870.936192951
38,6285780.210957083
39,6285290.6847125925
40,6285684.455811582
41,6285872.005832678
42,6284498.037048286
43,6285714.024236051
44,6285839.289521893
45,6285399.024482612
46,6282889.268240581
47,6285686.372897837
48,6285393.079978772
49,6285748.3540255865
50,6284497.326892978
51,6285828.02192626
52,6285392.7001369065
53,6284498.03704378
54,6285824.256170138
55,6285764.496633553
56,6285850.598754527
57,6285825.484421006
58,6285872.660914352
59,6285193.23534037
60,6285812.775067207
61,6285880.174120681
62,6285422.0983758075
63,6285408.2527073575
64,6285395.666376246
65,6282955.475533845
66,6285838.229666413
67,6285745.314353806
68,6285389.370029488
69,6284010.282728847
70,6285829.421381344
71,6285795.291126128
72,6285830.678116012
73,6284498.0370454835
74,6282955.509837182
75,6282891.447222127
76,6285737.938670935
77,6282955.488649074
78,6282870.936192948
79,6282955.7539755525
80,6285757.045062326
81,6285565.991410622
82,6285603.6273895465
83,6284010.28272898
84,6285851.434420689
85,6285541.691414313
86,6284439.913459647
87,6284440.736160375
88,6285718.085342411
89,6285794.205681068
90,6285766.268022503
91,6285840.002024958
92,6282955.592339668
93,6285603.520860115
94,6283318.730992215
95,6285704.41775669
96,6285827.864176099
97,6284865.2358217165
98,6285903.21352039
99,6285829.755162672
100,6282955.78138441
101,6285824.717264633
102,6285831.095660542
103,6285396.445995238
104,6285558.155134744
105,6284861.824911158
106,6285396.65040914
107,6285891.097668294
108,6285864.934404228
109,6285655.064324854
110,6284497.326891227
111,6285716.049568329
112,6283318.7309914725
113,6285844.5543462075
114,6285686.718309151
115,6285711.674185904
116,6285286.24848652
117,6285845.3476852635
118,6285409.003037797
119,6282955.481615878
120,6285593.216415162
121,6285849.619475498
122,6285811.255161175
123,6285670.813852399
124,6285842.889670944
125,6285655.316372385
126,6285718.367608367
127,6285770.825531487
128,6285592.495115817
129,6285737.938669233
130,6283318.76632337
131,6285721.015566858
132,6283312.657283217
133,6285868.921274167
134,6285592.495115627
135,6285707.364824698
136,6285600.862283062
137,6285608.082488159
138,6285758.988731842
139,6284497.344976302
140,6285807.788987034
141,6285286.248485265
142,6285593.216415162
143,6282955.592339672
144,6285858.359184537
145,6285710.523526442
146,6285684.735615797
147,6285866.5893411515
148,6285412.361430027
149,6285869.722395147
150,6285847.075361034
151,6285825.721791607
152,6285593.21641515
153,6285870.031046501
154,6285410.563275887
155,6285565.991410865
156,6282955.770264679
157,6285593.216411117
158,6284865.235821722
159,6285145.21587815
160,6282955.475537639
161,6284861.824909387
162,6285568.30445941
163,6285792.702526903
164,6285593.216404595
165,6285593.216415154
166,6285905.811441905
167,6285848.519451073
168,6284441.0525849005
169,6285774.13058595
170,6285768.450881157
171,6283616.1301619215
172,6285750.785135986
173,6285193.412157637
174,6285671.953580564
175,6285592.495113914
176,6285706.931759631
177,6285795.062172715
178,6285560.75625554
179,6285879.865969167
180,6284573.745613352
181,6284010.28272898
182,6285803.529829102
183,6285773.999988873
184,6285765.773094855
185,6285764.992559571
186,6285405.706233127
187,6285882.489732416
188,6284010.28272898
189,6285718.158079544
190,6285446.681725727
191,6283312.657283328
192,6285842.436436852
193,6285833.798960097
194,6282870.9361929465
195,6285222.754863502
196,6285872.209940191
197,6285808.53623838
198,6285286.248487072
199,6284865.2358201975
200,6285736.840441026
201,6285417.782205437
202,6285872.045246604
203,6285888.248549654
204,6285791.213690396
205,6285262.947123004
206,6285291.46760002
207,6285168.872167958
208,6285558.155134753
209,6285818.254994947
210,6282955.480213167
211,6285740.0708568785
212,6282955.781384407
213,6285721.098190421
214,6285556.472889207
215,6285821.543884033
216,6285776.140011477
217,6285808.536238357
218,6282955.49433245
219,6285736.840442099
220,6283616.130161903
221,6285736.724442846
222,6285230.686121632
223,6285654.621002577
224,6285744.946926553
225,6285291.413124697
226,6285686.442484211
227,6285862.933457197
228,6285620.788323827
229,6285671.079930074
230,6285888.991306776
231,6285822.073811812
232,6285776.140007344
233,6285593.21641345
234,6282870.936192399
235,6285757.455552207
236,6284498.037039783
237,6285767.274436722
238,6285604.613492678
239,6285869.632400796
240,6282891.117035467
241,6285779.41905324
242,6285601.29117161
243,6285777.799582859
244,6284497.3449763125
245,6284440.798616527
246,6284498.037043779
247,6285703.476698281
248,6285558.155121835
249,6283312.657283736
250,6285592.495115934
251,6285759.647148303
252,6284497.3449763125
253,6282955.540929885
254,6284439.325362116
255,6285194.2017797725
256,6285592.523552963
257,6285565.991410846
258,6285654.21689579
259,6282955.59233967
260,6285794.111960753
261,6283618.0013950635
262,6282955.475533845
263,6285891.941790646
264,6285821.200212614
265,6285811.273647113
266,6285817.654845705
267,6285814.069117541
268,6284581.244964075
269,6285592.523552958
270,6285817.670991649
271,6285809.481087035
272,6285737.466110404
273,6282955.781384407
274,6285795.27003547
275,6285167.878800162
276,6285400.694769265
277,6283312.657283735
278,6285803.909131324
279,6285750.005266806
280,6284581.159849563
281,6285833.682998681
282,6285558.155129498
283,6285736.741905647
284,6285851.227719747
285,6285856.184743797
286,6285667.017859499
287,6285830.508392444
288,6283318.730992273
289,6285893.755092773
290,6285808.536238385
291,6285849.183562833
292,6285898.798387441
293,6285593.216400391
294,6284498.037043626
295,6282955.540929884
296,6285667.910912169
297,6285808.536238362
298,6285808.063377545
299,6285903.560442913
300,6282870.9361956585
301,6285873.164650045
302,6285829.67930015
303,6285620.367926336
304,6282955.486369518
305,6285665.598395782
306,6284865.235810996
307,6285566.001247106
308,6285823.837478751
309,6285389.1070654215
310,6284865.2358217435
311,6285869.854396135
312,6285787.219590298
313,6285410.509399802
314,6285131.110471708
315,6285828.771177268
316,6285813.280496929
317,6285603.500793872
318,6282955.480216947
319,6284498.031409027
320,6285418.140393855
321,6285702.239372457
322,6285592.495115955
323,6285566.001247165
324,6285857.628538408
325,6285869.536856143
326,6285593.21641358
327,6285842.991738778
328,6285191.860144345
329,6285776.140011476
330,6284498.037048427
331,6285802.994920316
332,6285871.193149998
333,6285423.18059817
334,6284440.798616576
335,6285797.7732260125
336,6285900.990190667
337,6284498.037043777
338,6285877.270184278
339,6285411.7780050635
340,6285786.214399791
341,6285811.172640832
342,6285403.695935203
343,6285593.216415275
344,6285773.32831598
345,6282955.480216947
346,6285834.3067405615
347,6283318.766323352
348,6285556.155532235
349,6285225.938385538
350,6285898.175653305
351,6285592.812045704
352,6285620.350803616
353,6285808.53623838
354,6285201.051818903
355,6285755.294178145
356,6283577.0529373875
357,6285385.704490342
358,6285776.140011476
359,6285856.798422886
360,6285828.171689489
361,6285803.299612199
362,6285789.5295196315
363,6284441.072347998
364,6285657.637586681
365,6285252.5064505935
366,6285684.835718984
367,6285774.147488412
368,6285556.083049742
369,6285870.864394872
370,6283312.6572833285
371,6285750.656022647
372,6282955.592339668
373,6285844.826502854
